 ,Mean
1199,88.031
1200,78.763
1201,118.304
1202,114.224
1203,106.163
1204,87.077
1205,81.180
1206,117.996
1207,113.306
1208,103.199
1209,86.130
1210,80.668
1211,117.974
1212,113.736
1213,107.694
1214,90.623
1215,78.838
1216,115.441
1217,107.861
1218,101.649
1219,85.486
1220,80.950
1221,113.574
1222,110.928
1223,102.354
1224,85.925
1225,79.680
1226,114.656
1227,111.458
1228,101.634
1229,88.515
1230,82.686
1231,118.267
1232,114.390
1233,106.530
1234,89.451
1235,77.777
1236,116.757
1237,113.208
1238,104.927
1239,87.234
1240,81.709
1241,118.794
1242,114.208
1243,107.122
1244,93.395
1245,82.497
1246,116.624
1247,112.465
1248,101.559
1249,83.567
1250,79.532
1251,116.580
1252,113.198
1253,104.032
1254,86.273
1255,80.368
1256,116.222
1257,111.737
1258,103.338
1259,90.391
1260,78.855
1261,119.081
1262,115.465
1263,108.185
1264,88.557
1265,82.247
1266,118.844
1267,114.577
1268,105.118
1269,87.625
1270,81.478
1271,118.826
1272,114.923
1273,109.750
1274,92.550
1275,79.322
1276,116.418
1277,109.304
1278,103.856
1279,87.058
1280,82.155
1281,114.552
1282,112.185
1283,104.379
1284,87.742
1285,80.592
1286,115.586
1287,112.656
1288,103.735
1289,90.479
1290,83.262
1291,119.161
1292,115.640
1293,108.609
1294,91.606
1295,78.080
1296,117.815
1297,114.360
1298,106.592
1299,88.882
1300,82.874
1301,119.603
1302,115.365
1303,108.885
1304,95.706
1305,83.804
1306,117.595
1307,113.867
1308,104.012
1309,85.157
1310,80.329
1311,117.593
1312,114.510
1313,106.179
1314,88.267
1315,81.307
1316,117.151
1317,113.088
1318,105.561
1319,92.630
1320,78.945
1321,119.736
1322,116.499
1323,109.934
1324,89.998
1325,83.345
1326,119.536
1327,115.674
1328,106.852
1329,89.089
1330,82.310
1331,119.577
1332,115.972
1333,111.523
1334,94.398
1335,79.833
1336,117.257
1337,110.616
1338,105.824
1339,88.642
1340,83.406
1341,115.423
1342,113.268
1343,106.131
1344,89.554
1345,81.577
1346,116.420
1347,113.682
1348,105.613
1349,92.411
1350,83.877
1351,120.003
1352,116.666
1353,110.425
1354,93.699
1355,78.410
1356,118.718
1357,115.346
1358,108.070
1359,90.467
1360,84.075
1361,120.345
1362,116.388
1363,110.442
1364,97.810
1365,85.143
1366,118.412
1367,115.084
1368,106.180
1369,86.786
1370,81.185
1371,118.395
1372,115.636
1373,108.030
1374,90.260
1375,82.326
1376,117.931
1377,114.238
1378,107.523
1379,94.770
1380,79.077
1381,120.314
1382,117.399
1383,111.511
1384,91.403
1385,84.528
1386,120.166
1387,116.612
1388,108.430
1389,90.493
1390,83.147
1391,120.260
1392,116.914
1393,113.026
1394,96.140
1395,80.355
1396,117.999
1397,111.838
1398,107.602
1399,90.166
1400,84.624
1401,116.292
1402,114.201
1403,107.665
1404,91.312
1405,82.638
1406,117.123
1407,114.579
1408,107.279
1409,94.307
1410,84.552
1411,120.778
1412,117.573
1413,112.020
1414,95.712
1415,78.795
1416,119.550
1417,116.223
1418,109.353
1419,91.864
1420,85.314
1421,121.039
1422,117.294
1423,111.772
1424,99.774
1425,86.485
1426,119.137
1427,116.159
1428,108.034
1429,88.361
1430,82.106
1431,119.098
1432,116.588
1433,109.663
1434,92.173
1435,83.395
1436,118.623
1437,115.223
1438,109.199
1439,96.806
1440,79.222
1441,120.820
1442,118.148
1443,112.884
1444,92.787
1445,85.692
1446,120.720
1447,117.408
1448,109.838
1449,91.826
1450,84.004
1451,120.860
1452,117.694
1453,114.346
1454,97.733
1455,80.852
1456,118.657
1457,112.954
1458,109.178
1459,91.578
1460,85.822
1461,117.020
1462,115.011
1463,108.972
1464,92.958
1465,83.715
1466,117.751
1467,115.320
1468,108.743
