 ,Mean
1403,104.577
1404,93.403
1405,81.772
1406,116.292
1407,112.361
1408,104.113
1409,91.893
1410,81.737
1411,123.163
1412,119.424
1413,114.275
1414,103.355
1415,95.736
1416,120.488
1417,115.939
1418,112.101
1419,94.387
1420,84.738
1421,121.476
1422,118.086
1423,113.004
1424,96.567
1425,80.987
1426,117.676
1427,113.577
1428,104.537
1429,91.023
1430,81.013
1431,116.799
1432,112.907
1433,104.709
1434,92.941
1435,80.238
1436,117.524
1437,112.450
1438,102.133
1439,94.738
1440,80.684
1441,122.178
1442,118.874
1443,114.428
1444,106.548
1445,90.436
1446,120.313
1447,116.247
1448,111.620
1449,98.406
1450,88.099
1451,121.049
1452,116.806
1453,111.669
1454,98.025
1455,83.887
1456,116.853
1457,112.414
1458,103.701
1459,92.867
1460,83.653
1461,115.853
1462,112.808
1463,105.758
1464,94.667
1465,82.334
1466,116.994
1467,113.307
1468,105.351
1469,93.017
1470,82.086
1471,123.950
1472,120.384
1473,115.619
1474,105.122
1475,97.343
1476,121.464
1477,116.679
1478,113.203
1479,95.779
1480,85.682
1481,122.380
1482,119.003
1483,114.335
1484,98.068
1485,81.627
1486,118.544
1487,114.451
1488,105.806
1489,92.097
1490,81.567
1491,117.656
1492,113.716
1493,105.930
1494,94.240
1495,80.742
1496,118.267
1497,113.373
1498,103.458
1499,96.100
1500,80.907
1501,122.946
1502,119.737
1503,115.663
1504,108.148
1505,91.810
1506,121.144
1507,116.974
1508,112.632
1509,99.716
1510,89.351
1511,121.819
1512,117.664
1513,112.733
1514,99.536
1515,84.751
1516,117.698
1517,113.229
1518,104.910
1519,93.872
1520,84.204
1521,116.625
1522,113.579
1523,106.904
1524,95.877
1525,82.911
1526,117.704
1527,114.236
1528,106.565
1529,94.122
1530,82.425
1531,124.704
1532,121.331
1533,116.896
1534,106.796
1535,98.922
1536,122.447
1537,117.418
1538,114.184
1539,97.100
1540,86.671
1541,123.261
1542,119.967
1543,115.538
1544,99.487
1545,82.361
1546,119.405
1547,115.302
1548,106.958
1549,93.139
1550,82.161
1551,118.536
1552,114.520
1553,107.020
1554,95.502
1555,81.289
1556,119.006
1557,114.318
1558,104.675
1559,97.444
1560,81.155
1561,123.629
1562,120.522
1563,116.751
1564,109.669
1565,93.193
1566,121.880
1567,117.641
1568,113.527
1569,100.962
1570,90.611
1571,122.537
1572,118.431
1573,113.706
1574,101.019
1575,85.654
1576,118.548
1577,113.988
1578,106.050
1579,94.865
1580,84.791
1581,117.387
1582,114.254
1583,107.956
1584,97.082
1585,83.583
1586,118.419
1587,115.076
1588,107.717
1589,95.237
1590,82.860
1591,125.376
1592,122.182
1593,118.089
1594,108.372
1595,100.491
1596,123.358
1597,118.140
1598,115.153
1599,98.398
1600,87.756
1601,124.053
1602,120.874
1603,116.699
1604,100.905
1605,83.194
1606,120.267
1607,116.154
1608,108.105
1609,94.199
1610,82.854
1611,119.404
1612,115.289
1613,108.120
1614,96.761
1615,81.933
1616,119.718
1617,115.229
1618,105.938
1619,98.773
1620,81.540
1621,124.239
1622,121.241
1623,117.721
1624,111.012
1625,94.476
1626,122.541
1627,118.263
1628,114.317
1629,102.090
1630,91.749
1631,123.175
1632,119.109
1633,114.533
1634,102.333
1635,86.431
1636,119.320
1637,114.691
1638,107.030
1639,95.748
1640,85.265
1641,118.075
1642,114.887
1643,108.837
1644,98.143
1645,84.127
1646,119.045
1647,115.868
1648,108.689
1649,96.234
1650,83.138
1651,125.985
1652,122.875
1653,119.093
1654,109.722
1655,101.808
1656,124.104
1657,118.718
1658,115.916
1659,99.432
1660,88.581
1661,124.724
1662,121.625
1663,117.657
1664,102.058
1665,83.770
1666,121.036
1667,116.865
1668,109.046
1669,95.011
